0.19,0
0.4,"0,042"
0.5,"0,084"
0.61,"0,126"
0.76,"0,168"
0.82,"0,21"
1.0,"0,252"
1.1,"0,294"
1.2,"0,336"
1.31,"0,378"
1.38,"0,42"
1.49,"0,462"
1.54,"0,504"
1.64,"0,546"
1.72,"0,588"
1.8,"0,63"
1.85,"0,672"
1.94,"0,714"
02.01,"0,756"
02.06,"0,798"
2.14,"0,84"
2.16,"0,882"
2.24,"0,924"
2.26,"0,966"
2.34,"1,008"
2.37,"1,05"
2.42,"1,092"
2.47,"1,134"
2.51,"1,175"
2.55,"1,217"
2.58,"1,259"
2.63,"1,301"
2.65,"1,343"
2.68,"1,385"
2.7,"1,427"
2.73,"1,469"
2.64,"1,511"
2.54,"1,553"
2.48,"1,595"
2.33,"1,637"
2.28,"1,679"
2.17,"1,721"
2.1,"1,763"
02.02,"1,805"
1.97,"1,847"
1.89,"1,889"
1.81,"1,931"
1.76,"1,973"
1.71,"2,015"
1.66,"2,057"
1.6,"2,099"
1.55,"2,141"
1.5,"2,183"
1.45,"2,225"
1.4,"2,267"
1.35,"2,309"
1.29,"2,351"
1.27,"2,393"
1.24,"2,435"
1.19,"2,477"
1.15,"2,519"
1.11,"2,561"
01.09,"2,603"
01.05,"2,645"
01.04,"2,687"
1.0,"2,729"
0.97,"2,771"
0.94,"2,813"
0.93,"2,855"
0.89,"2,897"
0.88,"2,939"
0.85,"2,981"
0.84,"3,023"
0.83,"3,065"
0.8,"3,107"
0.78,"3,149"
0.75,"3,191"
0.72,"3,233"
0.72,"3,275"
0.7,"3,317"
0.67,"3,359"
0.66,"3,401"
0.65,"3,442"
0.63,"3,484"
0.62,"3,526"
0.62,"3,568"
0.6,"3,61"
0.58,"3,652"
0.57,"3,694"
0.56,"3,736"
0.54,"3,778"
0.53,"3,82"
0.53,"3,862"
0.52,"3,904"
0.52,"3,946"
0.5,"3,988"
0.49,"4,03"
0.49,"4,072"
0.48,"4,114"
0.48,"4,156"
0.47,"4,198"
0.47,"4,24"
0.47,"4,282"
0.45,"4,324"
0.45,"4,366"
0.44,"4,408"
0.44,"4,45"
0.44,"4,492"
0.44,"4,534"
0.43,"4,576"
0.43,"4,618"
0.43,"4,66"
0.43,"4,702"
0.43,"4,744"
0.43,"4,786"
0.41,"4,828"
0.41,"4,87"
0.41,"4,912"
0.41,"4,954"
0.41,"4,996"
0.41,"5,038"
0.41,"5,08"
0.41,"5,122"
0.41,"5,164"
0.41,"5,206"
0.4,"5,248"
0.4,"5,29"
0.39,"5,332"
0.39,"5,374"
0.38,"5,416"
0.38,"5,458"
0.36,"5,5"
0.36,"5,542"
0.36,"5,584"
0.36,"5,626"
0.36,"5,668"
0.35,"5,709"
0.35,"5,751"
0.35,"5,793"
0.34,"5,835"
0.34,"5,877"
0.34,"5,919"
0.34,"5,961"
0.34,"6,003"
0.32,"6,045"
